.AXJO,.FTMIB,SIc1,USFFTARGET=,.HSI,IT10YT=RR,.BVSP,EURIBOR3MD=,USD3MFSR=X,.GSPTSE,.FTSES,US5YT=RR,.GDAXI,JPPRIME=,US2YT=RR,USDISC=,JP10YT=RR,.VIX,.SPX,GBBASE=,GBP=,CAD=,CA10YT=RR,.FCHI,NZD=,AUD=,.STOXX50,EU10YT=RR,US30YT=RR,.IBEX,CHF=,HGc1,.NDX,.IXIC,PLc1,GB10YT=RR,.DJI,FR10YT=RR,JPY=,.FTSE,EUR=,GCc1,TED,.TRXFLDUSP,CLc1,US10YT=RR
4828.5,22398.21,16.994,0.25,21208.29,3.944,69884.61,0.652,0.25425,11918.71,5606.72,2.382,5875.91,1.65,0.907,0.75,1.308,18.57,1145.61,0.5,1.5061,1.0277,3.514,3903.54,0.6997,0.9091,2575.07,3.163,4.69,11078.3,1.0734,3.355,1917.35,2358.95,1588.3,4.097,10567.33,3.453,90.26,5606.72,1.3628,1107.8,10,103.35,82.09,3.721
4828.1,22355.8,17.136,0.25,21228.2,3.928,69341.38,0.652,0.2555,11961.06,5602.3,2.412,5885.89,1.65,0.951,0.75,1.327,18.06,1150.24,0.5,1.4999,1.0261,3.536,3910.01,0.7027,0.9137,2577.27,3.134,4.667,11002.8,1.0751,3.366,1923.81,2368.46,1610.8,4.048,10611.84,3.446,89.96,5602.3,1.36,1108,11,103.58,82.11,3.727
4837.6,22638.65,17.024,0.25,21209.74,3.936,69023.75,0.651,0.25563,11979.7,5640.57,2.408,5936.72,1.6,0.96,0.75,1.35,17.58,1149.99,0.5,1.4981,1.0256,3.5,3943.55,0.7016,0.9146,2588.66,3.155,4.627,11121,1.0698,3.3695,1924.43,2367.66,1606.5,4.069,10624.69,3.453,90.51,5640.57,1.3659,1101.5,11,104.12,81.24,3.703
4840.1,22540.85,17.083,0.25,21079.1,3.953,69942.2,0.65,0.25703,12013.82,5617.26,2.402,5928.63,1.6,0.944,0.75,1.35,18,1150.51,0.5,1.506,1.0241,3.54,3928.95,0.7006,0.9151,2578.01,3.182,4.629,11045.4,1.0684,3.307,1920.09,2362.21,1613.9,4.146,10642.15,3.489,90.51,5617.26,1.3677,1105.1,11,104.46,79.8,3.697
4835.9,22565.19,17.333,0.25,21022.93,3.958,69723.23,0.649,0.25719,12008.8,5625.65,2.353,5945.11,1.6,0.911,0.75,1.355,17.69,1159.46,0.5,1.5183,1.0184,3.494,3927.4,0.7011,0.9152,2581.57,3.162,4.59,11077,1.0581,3.357,1932.24,2378.01,1628.8,4.087,10685.98,3.461,90.46,5625.65,1.3761,1122.2,23,104.46,81.7,3.653
4836,22373.23,17.502,0.25,21384.49,3.95,69697.33,0.646,0.25763,12089.4,5593.85,2.365,5903.56,1.6,0.919,0.75,1.36,16.91,1166.21,0.5,1.5052,1.0187,3.443,3890.91,0.7018,0.9141,2565.3,3.158,4.57,10957.8,1.0618,3.41,1936.22,2389.09,1633.7,4.057,10733.67,3.445,90.52,5593.85,1.3673,1124,19,104.47,82.93,3.642
4806.4,22619.85,17.407,0.25,21330.67,3.956,68828.98,0.646,0.26088,12100.66,5620.43,2.415,5970.99,1.6,0.956,0.75,1.37,16.62,1165.83,0.5,1.5243,1.0135,3.475,3938.95,0.7112,0.9194,2590.34,3.132,4.587,11059.3,1.0544,3.3875,1943.94,2391.28,1629.5,4.023,10779.17,3.438,90.27,5620.43,1.3769,1127.4,21,105.25,82.2,3.676
4853.2,22902.58,17.017,0.25,21370.82,3.908,69041.73,0.644,0.26638,12040.01,5644.63,2.456,6024.28,1.6,0.997,0.75,1.367,16.97,1159.9,0.5,1.5321,1.0092,3.446,3957.89,0.7135,0.9232,2614.97,3.115,4.58,11166.8,1.0538,3.3645,1932.43,2374.41,1607.1,3.993,10741.98,3.423,90.27,5644.63,1.3737,1107.4,24,105.87,80.68,3.693
4874.4,22785.15,16.92,0.25,20933.25,3.937,69386.72,0.643,0.271,11947.98,5642.62,2.409,6012.31,1.6,0.973,0.75,1.35,16.87,1165.81,0.5,1.5245,1.0146,3.487,3938.18,0.7137,0.9204,2614.19,3.129,4.571,11073.5,1.058,3.3725,1949.59,2395.4,1599.8,3.983,10785.89,3.429,90.37,5642.62,1.3606,1099.3,25,105.8,81.25,3.661
4875.8,22687.3,17.012,0.25,20987.78,3.947,68913.4,0.642,0.2775,11967.17,5650.13,2.42,5982.43,1.6,0.981,0.75,1.344,16.35,1174.17,0.5,1.501,1.0172,3.454,3925.44,0.708,0.9153,2598.57,3.109,4.606,10990.8,1.0609,3.3695,1963.2,2415.24,1607.8,3.955,10888.83,3.434,90.53,5650.12,1.3531,1103.5,25,105.24,81.91,3.689
4857.5,22622.81,16.626,0.25,21008.62,3.928,68441.66,0.639,0.28188,12044.54,5644.54,2.587,5987.5,1.6,1.099,0.75,1.37,17.55,1167.72,0.5,1.5096,1.0178,3.468,3928,0.7065,0.9176,2598.85,3.068,4.727,10861.9,1.0579,3.3365,1951.84,2398.76,1587.4,3.923,10836.15,3.408,90.09,5644.54,1.3555,1088.6,24,105.78,80.61,3.851
4882.4,22765.89,16.727,0.25,20778.55,3.905,68682.66,0.637,0.28353,11962.97,5673.63,2.641,6017.27,1.6,1.087,0.75,1.385,18.4,1165.73,0.5,1.5038,1.0158,3.544,3952.55,0.7068,0.9185,2611.2,3.059,4.762,10996.2,1.0567,3.371,1949.15,2397.41,1605.9,3.905,10841.21,3.375,90.41,5673.63,1.3498,1092.7,25,106.57,80.53,3.882
4911.1,22798.7,16.894,0.25,21053.11,3.918,69939.12,0.636,0.28491,11958.11,5677.88,2.594,6039,1.6,1.048,0.75,1.406,17.77,1166.59,0.5,1.4868,1.0262,3.538,3949.81,0.7015,0.9066,2614.9,3.094,4.747,10866.3,1.0731,3.393,1952.63,2395.13,1595.5,3.98,10850.36,3.415,92.21,5677.88,1.3313,1104.2,25,105.9,80,3.851
4890.8,23034.46,17.373,0.25,21237.43,3.931,69959.58,0.635,0.28781,11957.37,5727.65,2.602,6132.95,1.6,1.04,0.75,1.399,17.59,1173.22,0.5,1.4809,1.0245,3.557,4000.48,0.7034,0.9072,2640.62,3.176,4.772,11091.4,1.0737,3.5295,1961.22,2404.36,1627.4,4.023,10895.86,3.482,92.68,5727.65,1.3278,1110.3,25,105.66,82.17,3.868
4896.9,23063.87,17.316,0.25,21374.79,3.914,70371.54,0.636,0.28875,12029.72,5703.02,2.601,6120.05,1.6,1.063,0.75,1.413,17.13,1173.27,0.5,1.49,1.027,3.576,3988.93,0.7031,0.9039,2625.16,3.15,4.748,11071.1,1.0648,3.555,1967.96,2410.69,1618.1,4.028,10907.42,3.476,92.47,5703.02,1.341,1104.5,25,105.7,82.37,3.859
4912,23104.97,17.512,0.25,21239.35,3.914,71136.34,0.635,0.29013,12044.21,5710.66,2.557,6156.85,1.6,1.02,0.75,1.368,17.59,1169.43,0.5,1.4985,1.0208,3.582,4000.66,0.709,0.9172,2630.97,3.133,4.714,11091,1.0623,3.546,1958.34,2397.96,1639.8,3.979,10856.63,3.455,92.44,5710.66,1.3477,1113.3,23,106.34,83.76,3.833
